Source,Target
M. Franciscvm Omichivm,S. G.
Stephan von Gumpenberg Friderich von Wolffskel vnnd Hans von Rameraw,Johan
Stephan von Gumpenberg Friderich von Wolffskel vnnd Hans von Rameraw,Sanct Paulus
Stephan von Gumpenberg Friderich von Wolffskel vnnd Hans von Rameraw,Johann
Stephan von Gumpenberg Friderich von Wolffskel vnnd Hans von Rameraw,Johann Eyselsaner
Stephan von Gumpenberg Friderich von Wolffskel vnnd Hans von Rameraw,Hans Strigel
Stephan von Gumpenberg Friderich von Wolffskel vnnd Hans von Rameraw,Frid
Künigklicher Maye,May
Künigklicher Maye,Benedicten Curipeschitz
Burger,Johan
Burger,Johan Thůcher
Mundus novus,Emanuel
Von de Raisz,Franckreich
Von de Raisz,N. Nicolai Bürtig
Von de Raisz,Frid
Pandectes Türckischer,Hansen Lewenklaw
Pandectes Türckischer,Chronic
Pandectes Türckischer,Christ
Pandectes Türckischer,Christi
Pandectes Türckischer,Osman Chan
Pandectes Türckischer,Jeronymus Beck von Leopoldstorff
Pandectes Türckischer,Tugendt Vntugendt
Pandectes Türckischer,Constantinopol
Pandectes Türckischer,Suleiman Chan vnd
Pandectes Türckischer,jar Christi
Elendt Jamer,Policey Gerichtlichem Proceß
Elendt Jamer,Maximilian
Elendt Jamer,Noth
Elendt Jamer,Schmächlichem Endt
Elendt Jamer,V. Ferdinandt
Elendt Jamer,Türckischen Keysers
Elendt Jamer,Rath
Elendt Jamer,Mahomeths
Lappiam,Gerhart de Ver
bey Pleymeuten Cartsag,Kurtze
bey Pleymeuten Cartsag,Franciscus Dracus
bey Pleymeuten Cartsag,S. Domingo
bey Pleymeuten Cartsag,Franciscus Dracus Redivivvs
bey Pleymeuten Cartsag,Jnsul Cuba
bißhero,Christ
bißhero,vnd Heyland Christus
Christ,Elisabeth Königin
Christ,Hansen Lewenklaw
Christ,H. Walter Raleigh Ritter
Christ,Jar Christi
Christ,Barbarossa
Christ,Chronic
Christ,Pandectes Türckischer
Christ,bißhero
Christ,Francisci Xauier
Christ,Julij
Christ,Reichard Greinuile
Christ,Vnd
Christ,Ferdinando
Christ,Künigclich Maiestat jres
Christ,Osmanischen Stammens
Christ,Jgnatium von Layola
Christ,Bartholomeum Georgiuitz Vnd
Christ,Karl V.
Christ,Melchior Lussy Ritter Landamman
Christ,Christo
Christ,Christi
Christ,Osman Chan
Christ,Carta de Francisco Javier S. J.
Christ,Jeronymus Beck von Leopoldstorff
Christ,Tugendt Vntugendt
Christ,Constantinopol
Christ,Jesu Christi
Christ,vnd Heyland Christus
Christ,Jetzund
Christ,Suleiman Chan vnd
Christ,jar Christi
Christ,Thomam Hariot
Christ,Philippi Melanthonis
Christ,Christoph Scheurl
H. Oseam Halen,Jacob
H. Oseam Halen,H. Ribald
H. Oseam Halen,Vnd
H. Oseam Halen,Dieterich
H. Oseam Halen,H. Guorguesio
H. Oseam Halen,Jacob le Moyne
H. Oseam Halen,C. C. A. Vnd
H. Bartholome Georgewyts,Joannem Herold
Francisci Xauier,Christ
Francisci Xauier,Jgnatium von Layola
Francisci Xauier,Christi
Francisci Xauier,Carta de Francisco Javier S. J.
Francisci Xauier,Jesu Christi
Dryandri,Menschfresser Leuthen
Dryandri,Dietz Ziegenhain
Dryandri,Vnd
Dryandri,Hans Staden
Dryandri,H. Philipsen Landtgraff
Dryandri,Medici
Dryandri,Eychman Ordinarij Professoris Medici
Dryandri,Dedicirt
Dryandri,D. Joh
Jetzo,Jaren
Jetzo,Hans Jsrael
Jetzo,Joan Hugo
Jetzo,Dieterich
Jetzo,Hans Dieterich
Hans Jsrael,Jaren
Hans Jsrael,Jetzo
Hans Jsrael,Joan Hugo
Hans Jsrael,Eduart Lopez
Hans Jsrael,Dieterich
Hans Jsrael,Hans Dieterich
Hans Jsrael,Hans Dietherich
Hans Jsrael,Congo
Hans Jsrael,Avgvstinvm Cassiodorvm
Julij,Barbarossa
Julij,Christ
Julij,Ferdinando
Julij,Künigclich Maiestat jres
Julij,Karl V.
Julij,Christo
Julij,Christoph Scheurl
Lorentz Keymis,Engellandt Leibs Guardi
Lorentz Keymis,Walthern Ralegh
Lorentz Keymis,Frantzen Draeck
Lorentz Keymis,Thomas Candisch
Lorentz Keymis,Vnd
Lorentz Keymis,Avgvstinvm Cassiodorvm Reinivm
Lorentz Keymis,Macuieguarai
Lorentz Keymis,Frantzen Prettie
Lorentz Keymis,Teutscher Meil
Lorentz Keymis,Avgvstinvm Cassiodorvm
Lorentz Keymis,Iohan Havckens
Franciscus Dracus,Kurtze
Franciscus Dracus,bey Pleymeuten Cartsag
Franciscus Dracus,S. Domingo
Franciscus Dracus,Franciscus Dracus Redivivvs
Franciscus Dracus,Jnsul Cuba
cosas,Juan González de Mendoza
cosas,Kurtze
cosas,Johan
cosas,Bey
cosas,Johann
cosas,Johann Kellner
cosas,Goldt
cosas,Matthaevm Dresservm D.
S. Domingo,Kurtze
S. Domingo,bey Pleymeuten Cartsag
S. Domingo,Franciscus Dracus
S. Domingo,Franciscus Dracus Redivivvs
S. Domingo,Jnsul Cuba
Francisco Álvares,Brunst
Francisco Álvares,Johan
Francisco Álvares,João
Francisco Álvares,Völcker
Thomas Candisch,Engellandt Leibs Guardi
Thomas Candisch,Walthern Ralegh
Thomas Candisch,Frantzen Draeck
Thomas Candisch,Lorentz Keymis
Thomas Candisch,Vnd
Thomas Candisch,Avgvstinvm Cassiodorvm Reinivm
Thomas Candisch,Macuieguarai
Thomas Candisch,Frantzen Prettie
Thomas Candisch,Teutscher Meil
Thomas Candisch,Avgvstinvm Cassiodorvm
Thomas Candisch,Iohan Havckens
Kayserlich Mayestet,May
Kayserlich Mayestet,Kayser
Iesv,Kurtze
Iesv,Constantzischen Rath
Iesv,Portugalesischer
Iesv,Ioannem Georgium
Iesv,Vnd
Iesv,Kurtze Verzeichnuß Vnd
Iesv,Ioannem Petrum Maffeium
Iesv,Rath
Dietz Ziegenhain,Menschfresser Leuthen
Dietz Ziegenhain,Dryandri
Dietz Ziegenhain,Hans Staden
Dietz Ziegenhain,H. Philipsen Landtgraff
Dietz Ziegenhain,Medici
Dietz Ziegenhain,Eychman Ordinarij Professoris Medici
Dietz Ziegenhain,Dedicirt
Dietz Ziegenhain,D. Joh
Reichard Greinuile,Elisabeth Königin
Reichard Greinuile,H. Walter Raleigh Ritter
Reichard Greinuile,Christ
Reichard Greinuile,Thomam Hariot
Kayser Soleyman,Benedikt Kuripešić
Kayser Soleyman,May
Kayser Soleyman,Kayser
Sanct Paulus,Johan
Sanct Paulus,Stephan von Gumpenberg Friderich von Wolffskel vnnd Hans von Rameraw
Sanct Paulus,Johann
Sanct Paulus,Johann Eyselsaner
Sanct Paulus,Hans Strigel
Sanct Paulus,Frid
Kurtzer,Kurtze
Kurtzer,Johan
Kurtzer,Johann
Indiae Orientalis,Hollandt
Indiae Orientalis,Völcker
Indiae Orientalis,Theodor vnd
Indiae Orientalis,Joann Huygens
Benzo von Meylandt,Dieterich
Benzo von Meylandt,Atabalibam
Vnd,Engellandt Leibs Guardi
Vnd,Kurtze
Vnd,Constantzischen Rath
Vnd,Portugalesischer
Vnd,Weyl
Vnd,Jacob
Vnd,Walthern Ralegh
Vnd,H. Ribald
Vnd,Johan
Vnd,Frantzen Draeck
Vnd,Ioannem Georgium
Vnd,Christ
Vnd,H. Oseam Halen
Vnd,Dryandri
Vnd,Lorentz Keymis
Vnd,Thomas Candisch
Vnd,Iesv
Vnd,Hans Staden
Vnd,Dieterich
Vnd,H. Guorguesio
Vnd,Bartholomeum Georgiuitz Vnd
Vnd,Avgvstinvm Cassiodorvm Reinivm
Vnd,Kurtze Verzeichnuß Vnd
Vnd,Johann
Vnd,Christi
Vnd,Medici
Vnd,Macuieguarai
Vnd,Frantzen Prettie
Vnd,Johann Jacoben
Vnd,Eychman Ordinarij Professoris Medici
Vnd,Teutscher Meil
Vnd,Olavm Magnvm
Vnd,Jacob le Moyne
Vnd,Ioannem Petrum Maffeium
Vnd,Avgvstinvm Cassiodorvm
Vnd,Rath
Vnd,C. C. A. Vnd
Vnd,Philippi Melanthonis
Vnd,Iohan Havckens
Vnd,Olaj Magni
De la Nove Jn Frantzoesischer,Jacob
De la Nove Jn Frantzoesischer,Jetzundt
De la Nove Jn Frantzoesischer,de Fresne
De la Nove Jn Frantzoesischer,Jetzund
Bey,Juan González de Mendoza
Bey,Kurtze
Bey,Johan
Bey,cosas
Bey,Johann
Bey,Johann Kellner
Bey,Goldt
Noth,Policey Gerichtlichem Proceß
Noth,Maximilian
Noth,Elendt Jamer
Noth,Schmächlichem Endt
Noth,V. Ferdinandt
Noth,Türckischen Keysers
Noth,Rath
Noth,Mahomeths
Ferdinando,Barbarossa
Ferdinando,Christ
Ferdinando,Julij
Ferdinando,Karl V.
Ferdinando,Christo
Ferdinando,Christoph Scheurl
Gerhart de Ver,Lappiam
Künigclich Maiestat jres,Barbarossa
Künigclich Maiestat jres,Christ
Künigclich Maiestat jres,Julij
Künigclich Maiestat jres,Karl V.
Künigclich Maiestat jres,Christo
Künigclich Maiestat jres,Christoph Scheurl
Ioannis Lerij,Dieterich Bry
Ioannis Lerij,Johan
Ioannis Lerij,Dieterich
Ioannis Lerij,Johann Staden
Ioannis Lerij,Johann
Tittel,Hispanischer Sprach von Cortesio
Tittel,Darzů
Tittel,Ferdinandi Cortesii
Tittel,Peter Sauorgnan
Tittel,Xysto Betuleio
Tittel,Carolvm
Tittel,Carlos V.
Tittel,Andrea Diethero
Tittel,Cartas de relación de la conquista de la Nueva España
Tittel,Zwo
Heinrich Müller,Jtem
Hans Staden,Menschfresser Leuthen
Hans Staden,Dryandri
Hans Staden,Dietz Ziegenhain
Hans Staden,Vnd
Hans Staden,H. Philipsen Landtgraff
Hans Staden,Medici
Hans Staden,Eychman Ordinarij Professoris Medici
Hans Staden,Dedicirt
Hans Staden,D. Joh
Joan Hugo,Jaren
Joan Hugo,Jetzo
Joan Hugo,Hans Jsrael
Joan Hugo,Dieterich
Joan Hugo,Hans Dieterich
Eduart Lopez,Hans Jsrael
Eduart Lopez,Hans Dietherich
Eduart Lopez,Congo
Eduart Lopez,Avgvstinvm Cassiodorvm
Osmanischen Stammens,Hansen Lewenklaw
Osmanischen Stammens,Jar Christi
Osmanischen Stammens,Chronic
Osmanischen Stammens,Christ
Osmanischen Stammens,Christi
Osmanischen Stammens,Osman Chan
Osmanischen Stammens,Jeronymus Beck von Leopoldstorff
Osmanischen Stammens,Tugendt Vntugendt
Osmanischen Stammens,Constantinopol
Osmanischen Stammens,Suleiman Chan vnd
Vlrici Schmidts,Dieterich von Bry
Vlrici Schmidts,Dieterich
João,Brunst
João,Johan
João,Chronic
João,Francisco Álvares
João,Johann
João,Völcker
João,Chronicen
João,Johanns
Paul Pesel,Kayser Karls
Paul Pesel,Kayser
Paul Pesel,Raiß
Dieterich,Jaren
Dieterich,Dieterich Bry
Dieterich,Jacob
Dieterich,Dieterich von Bry
Dieterich,H. Ribald
Dieterich,Johan
Dieterich,H. Oseam Halen
Dieterich,Jetzo
Dieterich,Hans Jsrael
Dieterich,Benzo von Meylandt
Dieterich,Vnd
Dieterich,Ioannis Lerij
Dieterich,Joan Hugo
Dieterich,Vlrici Schmidts
Dieterich,H. Guorguesio
Dieterich,Johann Staden
Dieterich,Johann
Dieterich,Hans Dieterich
Dieterich,Moritzen
Dieterich,Ioannis Benzonis von Meylandt
Dieterich,Jacob le Moyne
Dieterich,Atabalibam
Dieterich,C. C. A. Vnd
Jgnatium von Layola,Christ
Jgnatium von Layola,Francisci Xauier
Jgnatium von Layola,Christi
Jgnatium von Layola,Carta de Francisco Javier S. J.
Jgnatium von Layola,Jesu Christi
H. Guorguesio,Jacob
H. Guorguesio,H. Ribald
H. Guorguesio,H. Oseam Halen
H. Guorguesio,Vnd
H. Guorguesio,Dieterich
H. Guorguesio,Jacob le Moyne
H. Guorguesio,C. C. A. Vnd
Franciscus Dracus Redivivvs,Kurtze
Franciscus Dracus Redivivvs,bey Pleymeuten Cartsag
Franciscus Dracus Redivivvs,Franciscus Dracus
Franciscus Dracus Redivivvs,S. Domingo
Franciscus Dracus Redivivvs,Jnsul Cuba
Jnsul Cuba,Kurtze
Jnsul Cuba,bey Pleymeuten Cartsag
Jnsul Cuba,Franciscus Dracus
Jnsul Cuba,S. Domingo
Jnsul Cuba,Franciscus Dracus Redivivvs
Jnsel Bally,Laurentz Jnsel
Jnsel Bally,Nägelein
Jnsel Bally,Noua Zemla
Jnsel Bally,Conrad Löw
Jnsel Bally,Gantz
Xysto Betuleio,Hispanischer Sprach von Cortesio
Xysto Betuleio,Darzů
Xysto Betuleio,Ferdinandi Cortesii
Xysto Betuleio,Peter Sauorgnan
Xysto Betuleio,Tittel
Xysto Betuleio,Carolvm
Xysto Betuleio,Carlos V.
Xysto Betuleio,Andrea Diethero
Xysto Betuleio,Cartas de relación de la conquista de la Nueva España
Xysto Betuleio,Zwo
Bartholomeum Georgiuitz Vnd,Christ
Bartholomeum Georgiuitz Vnd,Vnd
Bartholomeum Georgiuitz Vnd,Christi
Bartholomeum Georgiuitz Vnd,Philippi Melanthonis
Schmächlichem Endt,Policey Gerichtlichem Proceß
Schmächlichem Endt,Maximilian
Schmächlichem Endt,Elendt Jamer
Schmächlichem Endt,Noth
Schmächlichem Endt,V. Ferdinandt
Schmächlichem Endt,Türckischen Keysers
Schmächlichem Endt,Rath
Schmächlichem Endt,Mahomeths
Hollandt,Indiae Orientalis
Hollandt,Völcker
Hollandt,Theodor vnd
Hollandt,Joann Huygens
Avgvstinvm Cassiodorvm Reinivm,Engellandt Leibs Guardi
