Source,Target
Augerius Gislenius Busbeck@PER,Soleiman@PER
Augerius Gislenius Busbeck@PER,Rath@PER
Augerius Gislenius Busbeck@PER,Keyser Ferdinandi@PER
Augerius Gislenius Busbeck@PER,Carle Graff@PER
Augerius Gislenius Busbeck@PER,Gran Ritterlich@LOC
Johan@PER,Virginia@LOC
Johan@PER,Americe@LOC
Johan@PER,Brunst@PER
Johan@PER,Kurtzer@PER
Johan@PER,Rom@LOC
Johan@PER,China@LOC
Johan@PER,cosas@PER
Johan@PER,João@PER
Johan@PER,Leipzig@LOC
Johan@PER,gran Reyno de la China@LOC
Johan@PER,Venedig@LOC
Johan@PER,Matthaevm Dresservm D.@PER
Johan@PER,Sinai Alcair Alexandria@LOC
Johan@PER,Morenlandt@LOC
Johan@PER,Francisco Álvares@PER
Johan@PER,Hierusalem@LOC
Johan@PER,Juan González de Mendoza@PER
Johan@PER,Völcker@PER
Iohan Havckens@PER,Engellandt Leibs Guardi@PER
Iohan Havckens@PER,Frantzen Draeck@PER
Iohan Havckens@PER,Teutscher Meil@PER
Iohan Havckens@PER,Thomas Candisch@PER
Iohan Havckens@PER,Macuieguarai@PER
Iohan Havckens@PER,Walthern Ralegh@PER
Iohan Havckens@PER,Avgvstinvm Cassiodorvm Reinivm@PER
Iohan Havckens@PER,Lorentz Keymis@PER
Iohan Havckens@PER,Vnd@PER
Iohan Havckens@PER,Engellandt@LOC
Iohan Havckens@PER,Amapaia@LOC
Iohan Havckens@PER,Frantzen Prettie@PER
Iohan Havckens@PER,Quito@LOC
Iohan Havckens@PER,Guiana@LOC
Iohan Havckens@PER,Jar@LOC
Iohan Havckens@PER,Peru@LOC
Iohan Havckens@PER,Arromaia@LOC
Genua@LOC,Philippo Printze@PER
Genua@LOC,Ain Schen New Bůch@LOC
Genua@LOC,Jar@LOC
Genua@LOC,Germanien@LOC
Genua@LOC,Hans Heusl@PER
Joann Huygens@PER,Indiae Orientalis@PER
Joann Huygens@PER,Orient@LOC
Joann Huygens@PER,Theodor vnd@PER
Joann Huygens@PER,Hochteutsch@LOC
Joann Huygens@PER,Hollandt@PER
Joann Huygens@PER,Sumatra@LOC
Joann Huygens@PER,Hollandt@LOC
Joann Huygens@PER,Völcker@PER
Joann Huygens@PER,Israel de Bry Gebrüder@LOC
Gilissy@LOC,Jndien@LOC
Gilissy@LOC,Laurentz Jnsel@PER
Gilissy@LOC,Conrad Löw@PER
Gilissy@LOC,China@LOC
Gilissy@LOC,Noua Zemla@PER
Gilissy@LOC,Obij@LOC
Gilissy@LOC,Gantz@PER
Gilissy@LOC,Jar@LOC
Gilissy@LOC,Jnsel Bally@PER
Gilissy@LOC,Hollandt@LOC
Gilissy@LOC,Nägelein@PER
Weyl@PER,Olaj Magni@PER
Weyl@PER,Rom@LOC
Weyl@PER,Olavm Magnvm@PER
Weyl@PER,Gothien@LOC
Weyl@PER,Vnd@PER
Weyl@PER,Johann Jacoben@PER
Weyl@PER,Jar@LOC
Weyl@PER,Schweden@LOC
Engellandt Leibs Guardi@PER,Frantzen Draeck@PER
Engellandt Leibs Guardi@PER,Teutscher Meil@PER
